                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.77428,                0.58343,                0.98697,                0.90406,                0.81057,                 0.8805,                0.64988,                0.87067,                0.67901,                0.97736,              0.0008912,              0.0008912,              0.0008912
                    114,                0.80319,                0.61306,                0.97385,                0.88908,                 0.7957,                0.86061,                0.65009,                0.87176,                0.66815,                0.98832,              0.0008813,              0.0008813,              0.0008813
                    115,                0.79491,                0.59664,                 1.0161,                0.85762,                0.84201,                0.88237,                0.65282,                0.86827,                0.66921,                0.98125,              0.0008714,              0.0008714,              0.0008714
                    116,                0.76087,                0.57329,                0.97173,                0.85779,                0.85484,                0.87336,                0.65433,                0.87214,                0.66307,                0.98623,              0.0008615,              0.0008615,              0.0008615
                    117,                0.77172,                0.56633,                 0.9718,                0.90142,                0.83572,                 0.8875,                0.67214,                0.81203,                0.64543,                0.97272,              0.0008516,              0.0008516,              0.0008516
                    118,                0.79376,                0.57103,                0.96395,                0.90405,                0.84946,                0.88305,                0.66758,                0.82406,                0.67225,                0.98546,              0.0008417,              0.0008417,              0.0008417
                    119,                0.77692,                0.58593,                0.96946,                0.85848,                0.84946,                0.88385,                0.66814,                0.83489,                0.66955,                 0.9933,              0.0008318,              0.0008318,              0.0008318
                    120,                0.77866,                0.58096,                0.97408,                0.88602,                0.80108,                0.87251,                0.64413,                0.84343,                0.70835,                0.98246,              0.0008219,              0.0008219,              0.0008219
                    121,                0.76953,                0.55965,                0.97456,                0.91501,                 0.8172,                0.86948,                0.64892,                0.84402,                0.73522,                0.96814,               0.000812,               0.000812,               0.000812
                    122,                0.77518,                0.55208,                0.97607,                0.86804,                0.80108,                  0.875,                0.64818,                0.84254,                0.71288,                0.96815,              0.0008021,              0.0008021,              0.0008021
                    123,                0.75352,                0.55292,                0.96497,                0.88523,                0.83333,                 0.8744,                 0.6579,                0.83906,                  0.724,                0.96621,              0.0007922,              0.0007922,              0.0007922
                    124,                0.75923,                0.53799,                0.95817,                0.90495,                0.81899,                0.86177,                0.63982,                0.83175,                0.74103,                0.96385,              0.0007823,              0.0007823,              0.0007823
                    125,                0.78982,                0.57249,                0.98566,                0.91299,                0.78983,                0.85378,                 0.6253,                0.87555,                0.76653,                0.98612,              0.0007724,              0.0007724,              0.0007724
                    126,                 0.7416,                0.55464,                0.96207,                0.88843,                 0.7957,                 0.8502,                0.63102,                0.86318,                0.75622,                0.98997,              0.0007625,              0.0007625,              0.0007625
                    127,                 0.7734,                0.54391,                0.98404,                0.89165,                0.76882,                0.83197,                0.62371,                0.85966,                0.73909,                0.97598,              0.0007526,              0.0007526,              0.0007526
                    128,                0.72987,                0.54237,                0.96126,                0.90379,                0.80811,                0.86403,                0.63941,                0.85411,                0.70914,                0.97938,              0.0007427,              0.0007427,              0.0007427
                    129,                0.75667,                0.58032,                0.98831,                0.89038,                0.81183,                0.86557,                0.63024,                0.84759,                0.71649,                0.97481,              0.0007328,              0.0007328,              0.0007328
                    130,                0.74856,                0.53644,                0.94879,                0.87939,                0.78398,                0.85219,                0.62251,                0.85086,                0.73694,                0.97329,              0.0007229,              0.0007229,              0.0007229
                    131,                  0.723,                0.53996,                 0.9658,                0.89383,                 0.8147,                0.86146,                0.64444,                0.84962,                0.74111,                0.97387,               0.000713,               0.000713,               0.000713
                    132,                0.76248,                0.55017,                0.97335,                0.89677,                0.81183,                0.86992,                0.64296,                0.86677,                0.72567,                0.97602,              0.0007031,              0.0007031,              0.0007031
                    133,                0.73832,                0.53271,                0.96995,                0.93559,                0.78099,                0.86454,                0.62351,                0.86561,                0.70674,                0.96803,              0.0006932,              0.0006932,              0.0006932
                    134,                 0.7767,                 0.5644,                0.96486,                0.94063,                0.76882,                0.85277,                0.62664,                0.87794,                0.69701,                0.97267,              0.0006833,              0.0006833,              0.0006833
                    135,                0.75958,                0.56037,                0.96842,                0.91424,                0.79032,                0.86185,                0.64793,                0.88585,                0.70831,                0.97337,              0.0006734,              0.0006734,              0.0006734
                    136,                0.76585,                0.54206,                0.95605,                0.93169,                0.76882,                0.86492,                0.64585,                0.88131,                0.71422,                0.97157,              0.0006635,              0.0006635,              0.0006635
                    137,                0.73885,                0.52219,                0.96864,                0.90273,                0.79832,                0.86875,                0.64682,                0.86873,                0.70853,                0.96891,              0.0006536,              0.0006536,              0.0006536
                    138,                0.74271,                0.53634,                0.95285,                0.88701,                0.80195,                0.87255,                0.65426,                0.88046,                0.69252,                0.96786,              0.0006437,              0.0006437,              0.0006437
                    139,                0.71959,                0.53307,                0.95336,                0.93393,                0.79032,                0.86012,                0.64589,                0.86966,                0.69319,                0.96117,              0.0006338,              0.0006338,              0.0006338
                    140,                0.71142,                0.51371,                0.95051,                0.92699,                 0.7957,                 0.8585,                0.64572,                0.83479,                0.69129,                0.95846,              0.0006239,              0.0006239,              0.0006239
                    141,                0.72862,                0.52443,                0.95592,                  0.927,                0.78495,                0.87048,                 0.6576,                0.85305,                0.68719,                0.95573,               0.000614,               0.000614,               0.000614
                    142,                0.72409,                0.50946,                0.94925,                0.89721,                 0.7978,                0.87911,                0.65898,                0.85812,                0.68767,                0.95847,              0.0006041,              0.0006041,              0.0006041
                    143,                 0.6982,                0.52143,                0.95793,                0.89701,                0.82258,                0.87273,                0.66214,                0.83998,                0.69239,                0.94842,              0.0005942,              0.0005942,              0.0005942
                    144,                0.69075,                0.49886,                0.93362,                0.90702,                0.78673,                0.86022,                0.66082,                0.85062,                0.70381,                 0.9516,              0.0005843,              0.0005843,              0.0005843
                    145,                0.71039,                0.52015,                0.96004,                0.88501,                0.80108,                0.86544,                0.64877,                 0.8451,                0.72061,                0.95028,              0.0005744,              0.0005744,              0.0005744
                    146,                0.70741,                0.50987,                0.94435,                0.90121,                0.77957,                0.87154,                0.65047,                0.85132,                0.71183,                0.95159,              0.0005645,              0.0005645,              0.0005645
                    147,                0.67684,                0.48786,                0.92699,                0.88776,                0.79032,                0.86167,                0.64222,                0.86264,                0.72574,                0.95169,              0.0005546,              0.0005546,              0.0005546
                    148,                0.68971,                0.50791,                0.93344,                0.88115,                0.80645,                0.85968,                 0.6492,                0.84218,                0.74422,                0.95594,              0.0005447,              0.0005447,              0.0005447
                    149,                0.70329,                0.50313,                0.95095,                0.92485,                0.77419,                0.85098,                0.64278,                0.86524,                0.72814,                0.97295,              0.0005348,              0.0005348,              0.0005348
                    150,                0.71313,                0.56834,                0.95544,                0.92802,                0.76245,                 0.8403,                0.63502,                0.85618,                0.73786,                0.97021,              0.0005249,              0.0005249,              0.0005249
                    151,                 0.6732,                0.48123,                0.92204,                0.93114,                 0.7957,                 0.8614,                0.65737,                0.82925,                0.70919,                0.96147,               0.000515,               0.000515,               0.000515
                    152,                 0.7078,                0.50803,                 0.9457,                0.90334,                0.81183,                0.86804,                0.65743,                0.84632,                0.71822,                0.96076,              0.0005051,              0.0005051,              0.0005051
